,Title,Awards,Wins,Nominations,Golden Globes Won,Golden Globes Nominated,Oscars Nominated,Oscars Won,Bafta Nominated,Bafta Won,PrimeTime Won,PrimeTime Nominated
1943,The Rules,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1944,Run; Fatboy; Run,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
1945,Go with Peace Jamil,5 wins & 6 nominations.,['5'],['6'],[],[],[],[],[],[],[],[]
1947,Death Race,1 win & 5 nominations.,['1'],['5'],[],[],[],[],[],[],[],[]
1948,The Tender Hook,1 win & 5 nominations.,['1'],['5'],[],[],[],[],[],[],[],[]
1949,Theresa: The Body of Christ,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1952,Things We Lost in the Fire,4 wins & 1 nomination.,['4'],['1'],[],[],[],[],[],[],[],[]
1956,Sex and Death 101,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1957,The Chronicles of Narnia: Prince Caspian,2 wins & 19 nominations.,['2'],['19'],[],[],[],[],[],[],[],[]
1958,Aliens vs. Predator: Requiem,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
1959,Into the Wild,Nominated for 2 Oscars. Another 23 wins & 99 nominations.,['23'],['99'],[],[],['2'],[],[],[],[],[]
1960,Redline,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1961,Across the River to Motor City,3 wins & 6 nominations.,['3'],['6'],[],[],[],[],[],[],[],[]
1965,Blessed Is the Match: The Life and Death of Hannah Senesh,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1966,The End,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1971,Superbad,10 wins & 24 nominations.,['10'],['24'],[],[],[],[],[],[],[],[]
1972,2030 - Aufstand der Alten,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1977,Chak de! India,26 wins & 18 nominations.,['26'],['18'],[],[],[],[],[],[],[],[]
1979,Adventures in Hollyhood,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1980,La France,2 wins & 3 nominations.,['2'],['3'],[],[],[],[],[],[],[],[]
1983,A Life Interrupted,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
1987,Doubt,Nominated for 5 Oscars. Another 26 wins & 88 nominations.,['26'],['88'],[],[],['5'],[],[],[],[],[]
1988,Super Amigos,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
1990,Accident,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
1991,Dance of the Dead,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1994,Trapped,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
2007,Rock of Love with Bret Michaels,3 wins & 1 nomination.,['3'],['1'],[],[],[],[],[],[],[],[]
2008,ABC Colombia,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
2010,4Real,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2011,Operation Homecoming: Writing the Wartime Experience,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,['2'],['4'],[],[],['1'],[],[],[],[],[]
2012,Tell-Tale,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2025,Aurora boreal,5 nominations.,[],['5'],[],[],[],[],[],[],[],[]
2030,'Da Kink in My Hair,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
2031,Tit for Tat,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2032,Witless Protection,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
2045,About a Girl,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
2047,Addiction,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2050,Alguien te mira,3 wins & 1 nomination.,['3'],['1'],[],[],[],[],[],[],[],[]
2055,After the Catch,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
2079,Surprise!,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
2081,Röyhkeä diplomaatti,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2082,Mixed Blessings,1 win & 9 nominations.,['1'],['9'],[],[],[],[],[],[],[],[]
2085,Haïti chérie,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
2086,Air Australia,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2101,Encounters at the End of the World,Nominated for 1 Oscar. Another 2 wins & 14 nominations.,['2'],['14'],[],[],['1'],[],[],[],[],[]
2104,Twilight,28 wins & 16 nominations.,['28'],['16'],[],[],[],[],[],[],[],[]
2109,The First Day,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
2116,13 anys i un dia,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2119,Batman: Gotham Knight,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
2125,Sons of Anarchy,Won 1 Golden Globe. Another 10 wins & 57 nominations.,['10'],['57'],['1'],[],[],[],[],[],[],[]
2145,A Pedra do Reino,1 win & 6 nominations.,['1'],['6'],[],[],[],[],[],[],[],[]
2153,9mm: São Paulo,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
2155,Death of a Ghost Hunter,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2166,Stella,2 wins & 2 nominations.,['2'],['2'],[],[],[],[],[],[],[],[]
2169,The World is Big and Salvation Lurks Around the Corner,8 wins & 6 nominations.,['8'],['6'],[],[],[],[],[],[],[],[]
2172,A.D. La guerre de l'ombre,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2173,Three Apples Fall,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
2174,Una vida mejor,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2182,The Pleasure of Being Robbed,5 wins & 2 nominations.,['5'],['2'],[],[],[],[],[],[],[],[]
2185,Achtung! Hartwich,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2189,Lawrence Leung's Choose Your Own Adventure,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
2193,Code Geass: Lelouch of the Rebellion R2,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
2194,Command & Conquer: Red Alert 3,1 win & 3 nominations.,['1'],['3'],[],[],[],[],[],[],[],[]
2203,Bucarest; la memòria perduda,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
2213,Disaster Movie,1 win & 6 nominations.,['1'],['6'],[],[],[],[],[],[],[],[]
2228,90210,2 wins & 17 nominations.,['2'],['17'],[],[],[],[],[],[],[],[]
2238,Smashing Pumpkins: If All Goes Wrong,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2242,What on Earth Have I Done Wrong?!,6 wins & 4 nominations.,['6'],['4'],[],[],[],[],[],[],[],[]
2248,The Road to Sundance,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2252,Al punto,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2254,30 Days of Night: Dust to Dust,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2257,Cry Wolf,2 wins & 10 nominations.,['2'],['10'],[],[],[],[],[],[],[],[]
2262,A Favorita,26 wins & 24 nominations.,['26'],['24'],[],[],[],[],[],[],[],[]
2273,Aftermath: Population Zero,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2285,Aphrodite's Farm,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2287,Aisling's Diary,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
2288,Point Blank P.O.V.,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2296,The Art of Failure: Chuck Connelly Not for Sale,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2305,Living in Emergency,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2322,Seeking Wellness: Suffering Through Four Movements,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2337,Robot Chicken: Star Wars Episode II,Won 1 Primetime Emmy. Another 3 wins & 3 nominations.,['3'],['3'],[],[],[],[],[],[],['1'],[]
2338,Escape,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
2339,Brothers,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2347,All's Faire,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
2348,A History of Scotland,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
2351,Hot Dog,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
2367,The Witness from the Balcony of Room 306,Nominated for 1 Oscar. Another 5 wins & 1 nomination.,['5'],['1'],[],[],['1'],[],[],[],[],[]
2392,Granny O'Grimm's Sleeping Beauty,Nominated for 1 Oscar. Another 1 win.,['1'],[],[],[],['1'],[],[],[],[],[]
2407,After Judgment,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
2426,Pajama Gladiator,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
2430,Swingers,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2436,Meeting Andrei Tarkovsky,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
2440,Aline,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
2445,Luxury,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
2459,A Broken Heart,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
2469,Speed in 60 Seconds,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2480,15 Minutos MTV,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2488,3rd & Bird,1 win & 3 nominations.,['1'],['3'],[],[],[],[],[],[],[],[]
2509,Beethoven Virus,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2543,A Primera Hora,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2545,All Access,5 nominations.,[],['5'],[],[],[],[],[],[],[],[]
2572,Passos no Silencio,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2596,16x9: The Bigger Picture,2 wins & 4 nominations.,['2'],['4'],[],[],[],[],[],[],[],[]
2669,Roots of Relationship,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2723,Star Wars: Episode IV - A New Hope,Won 6 Oscars. Another 48 wins & 28 nominations.,['48'],['28'],[],[],[],['6'],[],[],[],[]
2724,Watchmen,12 wins & 20 nominations.,['12'],['20'],[],[],[],[],[],[],[],[]
2726,Prince of Persia: The Sands of Time,1 win & 9 nominations.,['1'],['9'],[],[],[],[],[],[],[],[]
2727,Resident Evil 5,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
2729,Love & Other Drugs,Nominated for 2 Golden Globes. Another 1 win & 4 nominations.,['1'],['4'],[],['2'],[],[],[],[],[],[]
2730,Clash of the Titans,4 wins & 12 nominations.,['4'],['12'],[],[],[],[],[],[],[],[]
2731,The Kids Are All Right,Nominated for 4 Oscars. Another 28 wins & 116 nominations.,['28'],['116'],[],[],['4'],[],[],[],[],[]
2733,The Blind Side,Won 1 Oscar. Another 7 wins & 29 nominations.,['7'],['29'],[],[],[],['1'],[],[],[],[]
2735,How to Train Your Dragon,Nominated for 2 Oscars. Another 25 wins & 58 nominations.,['25'],['58'],[],[],['2'],[],[],[],[],[]
2739,Gamer,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2740,Repo Men,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
2742,Max Neptune and the Menacing Squid,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
2744,Mars,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
2746,Hannah Montana: The Movie,6 wins & 10 nominations.,['6'],['10'],[],[],[],[],[],[],[],[]
2748,Burlesque,Won 1 Golden Globe. Another 5 wins & 17 nominations.,['5'],['17'],['1'],[],[],[],[],[],[],[]
2749,Twisted Roots,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2752,Without Bias,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
2755,A Vida Privada de Salazar,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2756,Acusados,2 wins & 3 nominations.,['2'],['3'],[],[],[],[],[],[],[],[]
2757,Alguien que me quiera,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2758,Christina,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2763,Georgia O'Keeffe,Nominated for 3 Golden Globes. Another 1 win & 25 nominations.,['1'],['25'],[],['3'],[],[],[],[],[],[]
2764,10 Things I Hate About You,1 win & 7 nominations.,['1'],['7'],[],[],[],[],[],[],[],[]
2765,Finale,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
2770,1066: The Battle for Middle Earth,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2773,The Final Storm,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
2774,23-F: El día más difícil del Rey,5 wins & 1 nomination.,['5'],['1'],[],[],[],[],[],[],[],[]
2775,Partners,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2779,A Lei e o Crime,7 nominations.,[],['7'],[],[],[],[],[],[],[],[]
2780,Glenn Martin DDS,2 wins & 2 nominations.,['2'],['2'],[],[],[],[],[],[],[],[]
2789,A Blooming Business,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2795,Der verlorene Sohn,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
2796,4 Singles,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
2814,Twelve,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2816,:30 Seconds,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
2818,30 for 30,Nominated for 1 Primetime Emmy. Another 4 wins & 17 nominations.,['4'],['17'],[],[],[],[],[],[],[],['1']
2819,Acompañantes,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2822,18 to Life,2 wins & 10 nominations.,['2'],['10'],[],[],[],[],[],[],[],[]
2824,Tracker,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2827,Un juego absurdo,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
2830,The Rapture of Fe,2 wins & 8 nominations.,['2'],['8'],[],[],[],[],[],[],[],[]
2845,90-60-90. Diario secreto de una adolescente,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2846,EA Sports FIFA 10,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
2847,Bruc; the Manhunt,3 wins & 10 nominations.,['3'],['10'],[],[],[],[],[],[],[],[]
2861,Alice,Nominated for 2 Primetime Emmys. Another 8 wins & 14 nominations.,['8'],['14'],[],[],[],[],[],[],[],['2']
2864,5 Para a Meia Noite,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2870,The BET Honors,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2872,Alan Carr: Chatty Man,4 wins & 9 nominations.,['4'],['9'],[],[],[],[],[],[],[],[]
2880,To Comfort You,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2883,Saw 3D: The Final Chapter,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
2893,Turning Point,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2912,So Normal 2,1 win & 7 nominations.,['1'],['7'],[],[],[],[],[],[],[],[]
2945,Basilicata Coast to Coast,7 wins & 8 nominations.,['7'],['8'],[],[],[],[],[],[],[],[]
2947,Addicted to Money,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2954,Committed,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2964,37,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
2968,Kim Jong-Il's Comedy Club,1 win & 3 nominations.,['1'],['3'],[],[],[],[],[],[],[],[]
2976,Matar a Videla,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2983,Skyline,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
2987,The List,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2991,The Secret World of Arrietty,11 wins & 6 nominations.,['11'],['6'],[],[],[],[],[],[],[],[]
2992,Theo Maassen: Zonder pardon,1 win.,['1'],[],[],[],[],[],[],[],[],[]
2999,Afro-Suomen historia,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3010,Jessica Simpson: The Price of Beauty,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3016,Confessions,8 wins & 17 nominations.,['8'],['17'],[],[],[],[],[],[],[],[]
3039,Addicted,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3042,A História de Ester,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
3049,Bill Cunningham New York,1 win & 12 nominations.,['1'],['12'],[],[],[],[],[],[],[],[]
3052,Ben 10: Ultimate Alien,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3058,A Vida Alheia,6 nominations.,[],['6'],[],[],[],[],[],[],[],[]
3094,I Hate Luv Storys,9 nominations.,[],['9'],[],[],[],[],[],[],[],[]
3096,2010 FIFA World Cup,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3110,Journey to the Beginning of the Time of Economic Transformation,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3112,Hay pinhod oh ya Scooter,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3114,Robot Chicken: Star Wars Episode III,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],['1']
3115,City Under Siege,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
3123,10;000 Days,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3132,The Storytelling Show,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3178,Speed,5 wins & 11 nominations.,['5'],['11'],[],[],[],[],[],[],[],[]
3189,A Cura,3 wins & 11 nominations.,['3'],['11'],[],[],[],[],[],[],[],[]
3195,1001 Nights,4 wins & 7 nominations.,['4'],['7'],[],[],[],[],[],[],[],[]
3213,Sign Language,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3217,A Night at the Classic,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3222,Accused,6 wins & 11 nominations.,['6'],['11'],[],[],[],[],[],[],[],[]
3223,7 Days,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3229,Awakening,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3238,Überflieger - Die Kunst des Skispringens,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3239,A Gurls Wurld,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3248,Home,4 wins.,['4'],[],[],[],[],[],[],[],[],[]
3260,Contra las cuerdas,1 win & 3 nominations.,['1'],['3'],[],[],[],[],[],[],[],[]
3268,Venus,5 nominations.,[],['5'],[],[],[],[],[],[],[],[]
3278,8.13,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3281,In Bed at 10 PM,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3284,Revolution,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3317,The Joey & Elise Show,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
3321,1916 Seachtar na Cásca,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3326,Afinal; o que Querem as Mulheres?,3 wins & 7 nominations.,['3'],['7'],[],[],[],[],[],[],[],[]
3341,Afl 360,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3369,Agents of Cracked,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3393,Amor & Sexo,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3417,A League of Their Own,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3462,Al-Gamaa'a,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
3484,The Two Escobars,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
3536,To Be or Not to Be,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3538,Alagang kapatid,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
3539,Aksyon,5 nominations.,[],['5'],[],[],[],[],[],[],[],[]
3542,Antiques Road Trip,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3584,On the Road,2 wins & 4 nominations.,['2'],['4'],[],[],[],[],[],[],[],[]
3585,Puss in Boots,Nominated for 1 Oscar. Another 7 wins & 42 nominations.,['7'],['42'],[],[],['1'],[],[],[],[],[]
3586,The Avengers,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,['34'],['75'],[],[],['1'],[],[],[],[],[]
3588,Argo,Won 3 Oscars. Another 92 wins & 150 nominations.,['92'],['150'],[],[],[],['3'],[],[],[],[]
3589,The Message,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3591,Harry Potter and the Deathly Hallows: Part 2,Nominated for 3 Oscars. Another 46 wins & 87 nominations.,['46'],['87'],[],[],['3'],[],[],[],[],[]
3593,A Very Harold & Kumar 3D Christmas,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3594,X-Men: First Class,20 wins & 35 nominations.,['20'],['35'],[],[],[],[],[],[],[],[]
3595,The Twilight Saga: Breaking Dawn - Part 1,11 wins & 21 nominations.,['11'],['21'],[],[],[],[],[],[],[],[]
3596,The Custom Mary,2 wins & 3 nominations.,['2'],['3'],[],[],[],[],[],[],[],[]
3597,Tinker Tailor Soldier Spy,Nominated for 3 Oscars. Another 34 wins & 88 nominations.,['34'],['88'],[],[],['3'],[],[],[],[],[]
3598,The Domino Effect,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
3599,A'dam - E.V.A.,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
3600,Martha Marcy May Marlene,22 wins & 68 nominations.,['22'],['68'],[],[],[],[],[],[],[],[]
3601,A Lady in Paris,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
3604,Melancholia,32 wins & 86 nominations.,['32'],['86'],[],[],[],[],[],[],[],[]
3605,Love,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
3606,One Day,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
3607,Dolphin Tale,2 wins & 4 nominations.,['2'],['4'],[],[],[],[],[],[],[],[]
3608,Brute Force,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3610,Fast Five,8 wins & 19 nominations.,['8'],['19'],[],[],[],[],[],[],[],[]
3611,Soul Surfer,1 win & 12 nominations.,['1'],['12'],[],[],[],[],[],[],[],[]
3612,Abraham Lincoln: Vampire Hunter,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3614,Vampire,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
3615,Ted,Nominated for 1 Oscar. Another 13 wins & 26 nominations.,['13'],['26'],[],[],['1'],[],[],[],[],[]
3617,Super 8,11 wins & 62 nominations.,['11'],['62'],[],[],[],[],[],[],[],[]
3618,Türkisch für Anfänger,3 wins & 2 nominations.,['3'],['2'],[],[],[],[],[],[],[],[]
3623,30° i februari,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3624,The Trap Door,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3625,All-Star Superman,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3627,The Arrival of Wang,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
3629,How to Die in Oregon,5 wins & 6 nominations.,['5'],['6'],[],[],[],[],[],[],[],[]
3631,Thank You,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3632,Alcatraz,2 wins & 6 nominations.,['2'],['6'],[],[],[],[],[],[],[],[]
3633,Aim High,2 wins & 2 nominations.,['2'],['2'],[],[],[],[],[],[],[],[]
3634,Darwin,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3635,We Can't Change the World. But; We Wanna Build a School in Cambodia.,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3638,California Romanza,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3639,The Iran Job,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3640,You Will Be My Son,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
3642,Apollo 18,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3643,A.N.T. Farm,7 wins & 12 nominations.,['7'],['12'],[],[],[],[],[],[],[],[]
3646,14 de abril. La República,3 wins & 2 nominations.,['3'],['2'],[],[],[],[],[],[],[],[]
3647,State of Georgia,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3648,Page One: Inside the New York Times,3 wins & 9 nominations.,['3'],['9'],[],[],[],[],[],[],[],[]
3650,A Família Mata,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
3651,Allen Gregory,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3652,Superheroes,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3660,Happiness Is a Warm Blanket; Charlie Brown,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3662,10 O'Clock Live,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
3674,After Lately,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
3679,Missing,Nominated for 2 Primetime Emmys. Another 1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],['2']
3689,Adam Hills in Gordon St Tonight,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
3692,19-2,9 wins & 2 nominations.,['9'],['2'],[],[],[],[],[],[],[],[]
3699,2 Broke Girls,Won 1 Primetime Emmy. Another 2 wins & 20 nominations.,['2'],['20'],[],[],[],[],[],[],['1'],[]
3706,30 Vies,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
3708,Agony and Ecstasy: A Year with English National Ballet,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3717,The Path,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3730,Five,Nominated for 1 Primetime Emmy. Another 1 win & 26 nominations.,['1'],['26'],[],[],[],[],[],[],[],['1']
3736,11-M; para que nadie lo olvide,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3742,Quiz,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3747,Air,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
3751,Ghost,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
3754,100 Days to Heaven,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
3761,Sinister,3 wins & 13 nominations.,['3'],['13'],[],[],[],[],[],[],[],[]
3762,Alaska y Mario,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3763,Ghost Graduation,3 wins & 1 nomination.,['3'],['1'],[],[],[],[],[],[],[],[]
3768,A Viagem,6 wins & 13 nominations.,['6'],['13'],[],[],[],[],[],[],[],[]
3777,10 kirjaa rahasta,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3781,Viagem a Portugal,3 wins & 2 nominations.,['3'],['2'],[],[],[],[],[],[],[],[]
3785,17 Meter - Wie weit kannst du gehn?,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
3790,All Watched Over by Machines of Loving Grace,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3791,A Mulher Invisível,2 wins & 6 nominations.,['2'],['6'],[],[],[],[],[],[],[],[]
3798,The Cougar Club 3,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
3808,Finale,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
3810,Flat,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3813,Theresa Is a Mother,10 wins & 5 nominations.,['10'],['5'],[],[],[],[],[],[],[],[]
3814,Up in Smoke,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3824,Hell Week,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
3828,All-American Muslim,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
3829,Torn,1 win.,['1'],[],[],[],[],[],[],[],[],[]
3831,The Secret Disco Revolution,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
