,Title,Awards,Wins,Nominations,Golden Globes Won,Golden Globes Nominated,Oscars Nominated,Oscars Won,Bafta Nominated,Bafta Won,PrimeTime Won,PrimeTime Nominated
662,When I Grow Up; I'll Be a Kangaroo,1 win.,['1'],[],[],[],[],[],[],[],[],[]
667,Alt und durchgeknallt,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
668,Aquí hay tomate,2 wins & 1 nomination.,['2'],['1'],[],[],[],[],[],[],[],[]
669,The Dr. Jekyll & Mr. Hyde Rock 'n Roll Musical,1 win.,['1'],[],[],[],[],[],[],[],[],[]
670,Wolf,2 wins & 10 nominations.,['2'],['10'],[],[],[],[],[],[],[],[]
676,5ive Days to Midnight,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
680,Curse of the Ring,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
681,Saw,8 wins & 10 nominations.,['8'],['10'],[],[],[],[],[],[],[],[]
683,All Grown Up!,2 wins & 5 nominations.,['2'],['5'],[],[],[],[],[],[],[],[]
690,Clean,2 wins & 8 nominations.,['2'],['8'],[],[],[],[],[],[],[],[]
692,The Mystery of Natalie Wood,2 wins & 2 nominations.,['2'],['2'],[],[],[],[],[],[],[],[]
693,Once Upon a Time in High School: The Spirit of Jeet Kune Do,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
697,Airline,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
699,Glauber o Filme; Labirinto do Brasil,6 wins & 2 nominations.,['6'],['2'],[],[],[],[],[],[],[],[]
708,55 Degrees North,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
709,JoJo's Circus,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
710,3 Non-Blondes,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
714,The Consequences of Love,14 wins & 17 nominations.,['14'],['17'],[],[],[],[],[],[],[],[]
716,Allá tú,3 wins & 7 nominations.,['3'],['7'],[],[],[],[],[],[],[],[]
717,Meltdown,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
740,Major League Baseball 2005,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
764,In the Darkness of the Night,5 wins & 2 nominations.,['5'],['2'],[],[],[],[],[],[],[],[]
765,Adoption Stories,1 win.,['1'],[],[],[],[],[],[],[],[],[]
776,Alarm für Cobra 11 - Einsatz für Team 2,1 win.,['1'],[],[],[],[],[],[],[],[],[]
782,Lucky Jack: Three Attempts to Stop Smoking,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
783,Scooby-Doo and the Loch Ness Monster,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
