Word,Count
dollar,21
doping,21
plant,21
live,21
hole,21
areas,21
relations,21
carried,21
met,21
begin,21
saw,21
referendum,21
twice,20
charlotte,20
powerful,20
clash,20
worst,20
afghan,20
deadline,20
girlfriend,20
utah,20
muslim,20
bomb,20
korean,20
message,20
abuse,20
keeping,20
com,20
merkel,20
peter,20
level,20
increased,20
parts,20
van,20
holdings,20
maryland,20
land,20
fuel,20
internet,20
offering,20
chemical,20
fraud,20
rally,20
ties,20
ran,20
bills,20
posted,20
masters,20
ireland,20
founder,20
susan,20
professor,20
allowed,20
square,20
carry,20
adding,20
increase,20
schools,20
rescued,20
claimed,20
massive,20
tech,20
illness,20
warned,20
bond,20
dozen,20
google,20
custody,20
production,20
claim,20
colombia,20
terrorist,20
lester,20
port,19
denver,19
tampa,19
eric,19
weather,19
photo,19
orleans,19
regulator,19
bob,19
ukrainian,19
earthquake,19
jerry,19
lot,19
bowl,19
practice,19
shootout,19
crowd,19
djokovic,19
approval,19
hand,19
girls,19
protests,19
gulf,19
traffic,19
andy,19
dollars,19
sides,19
fast,19
criticism,19
shootings,19
cuban,19
graduate,19
address,19
ryan,19
diego,19
morning,19
highest,19
refugee,19
takes,19
columbia,19
birthday,19
ceasefire,19
driving,19
software,19
teenage,19
attempted,19
awards,19
friendly,19
restaurant,19
threatened,19
secret,19
dakota,19
lewis,19
something,19
store,19
jose,19
fighter,19
polls,19
banned,19
motor,19
sox,19
movement,19
funeral,19
easy,19
assists,18
teams,18
room,18
arkansas,18
products,18
planning,18
initial,18
fine,18
troops,18
louisiana,18
wanted,18
baby,18
corporate,18
warning,18
nathan,18
bad,18
ben,18
expect,18
sector,18
overtime,18
think,18
tim,18
box,18
jeb,18
ride,18
success,18
designed,18
caught,18
virus,18
theater,18
cause,18
suddenly,18
save,18
flights,18
sell,18
river,18
cutting,18
cases,18
bus,18
actor,18
henry,18
speech,18
millions,18
hope,18
daily,18
ltd,18
mobile,18
phoenix,18
beijing,18
mostly,18
block,18
wrong,18
serious,18
facebook,18
wake,18
jane,18
winner,18
critical,18
elizabeth,18
asking,18
patrick,18
works,18
upcoming,18
academy,18
doctors,18
comments,18
watch,18
retired,18
rate,18
drove,18
station,18
involving,18
madrid,18
apparently,18
hampshire,18
tigers,18
knee,18
protection,18
closing,18
lines,18
changed,18
rule,18
sale,18
moscow,18
moon,18
candidates,18
raising,18
natural,18
delivered,18
includes,18
poland,18
believe,18
sought,18
rescue,17
coal,17
christmas,17
reforms,17
explosion,17
terrorism,17
form,17
dangerous,17
needs,17
airline,17
critics,17
woods,17
storm,17
confidence,17
vladimir,17
honor,17
heat,17
expects,17
completed,17
chances,17
drama,17
nov,17
