,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,Strike-Rate,More-Than-30,More-Than-50,More-Than-100
660,2008,45,1,Royal Challengers Bangalore,CL White,1,2.0,50.0,0,0,0
661,2008,45,1,Royal Challengers Bangalore,JH Kallis,25,21.0,119.05,0,0,0
662,2008,45,1,Royal Challengers Bangalore,Misbah-ul-Haq,47,25.0,188.0,1,0,0
663,2008,45,1,Royal Challengers Bangalore,P Kumar,2,5.0,40.0,0,0,0
664,2008,45,1,Royal Challengers Bangalore,R Dravid,9,11.0,81.82,0,0,0
665,2008,45,1,Royal Challengers Bangalore,SP Goswami,52,42.0,123.81,1,1,0
666,2008,45,1,Royal Challengers Bangalore,Z Khan,4,1.0,400.0,0,0,0
667,2008,45,2,Delhi Daredevils,AB de Villiers,21,25.0,84.0,0,0,0
668,2008,45,2,Delhi Daredevils,G Gambhir,39,31.0,125.81,1,0,0
669,2008,45,2,Delhi Daredevils,KD Karthik,6,4.0,150.0,0,0,0
670,2008,45,2,Delhi Daredevils,MF Maharoof,13,8.0,162.5,0,0,0
671,2008,45,2,Delhi Daredevils,S Dhawan,16,13.0,123.08,0,0,0
672,2008,45,2,Delhi Daredevils,TM Dilshan,4,10.0,40.0,0,0,0
673,2008,45,2,Delhi Daredevils,V Sehwag,47,19.0,247.37,1,0,0
674,2008,46,1,Kolkata Knight Riders,AB Agarkar,5,2.0,250.0,0,0,0
675,2008,46,1,Kolkata Knight Riders,DB Das,31,20.0,155.0,1,0,0
676,2008,46,1,Kolkata Knight Riders,DJ Hussey,11,15.0,73.33,0,0,0
677,2008,46,1,Kolkata Knight Riders,I Sharma,2,1.0,200.0,0,0,0
678,2008,46,1,Kolkata Knight Riders,LR Shukla,15,10.0,150.0,0,0,0
679,2008,46,1,Kolkata Knight Riders,Mohammad Hafeez,4,8.0,50.0,0,0,0
680,2008,46,1,Kolkata Knight Riders,SC Ganguly,32,34.0,94.12,1,0,0
681,2008,46,1,Kolkata Knight Riders,Salman Butt,24,20.0,120.0,0,0,0
682,2008,46,1,Kolkata Knight Riders,Umar Gul,7,4.0,175.0,0,0,0
683,2008,46,1,Kolkata Knight Riders,WP Saha,11,6.0,183.33,0,0,0
684,2008,46,2,Rajasthan Royals,GC Smith,24,24.0,100.0,0,0,0
685,2008,46,2,Rajasthan Royals,M Kaif,34,31.0,109.68,1,0,0
686,2008,46,2,Rajasthan Royals,SA Asnodkar,5,3.0,166.67,0,0,0
687,2008,46,2,Rajasthan Royals,SR Watson,19,15.0,126.67,0,0,0
688,2008,46,2,Rajasthan Royals,Sohail Tanvir,13,8.0,162.5,0,0,0
689,2008,46,2,Rajasthan Royals,YK Pathan,48,18.0,266.67,1,0,0
690,2008,47,1,Kings XI Punjab,DPMD Jayawardene,1,2.0,50.0,0,0,0
691,2008,47,1,Kings XI Punjab,IK Pathan,9,5.0,180.0,0,0,0
692,2008,47,1,Kings XI Punjab,JR Hopes,0,1.0,0.0,0,0,0
693,2008,47,1,Kings XI Punjab,LA Pomersbach,79,50.0,158.0,1,1,0
694,2008,47,1,Kings XI Punjab,SE Marsh,81,56.0,144.64,1,1,0
695,2008,47,1,Kings XI Punjab,Yuvraj Singh,7,6.0,116.67,0,0,0
696,2008,47,2,Mumbai Indians,A Nehra,0,1.0,0.0,0,0,0
697,2008,47,2,Mumbai Indians,AM Nayar,27,18.0,150.0,0,0,0
698,2008,47,2,Mumbai Indians,CRD Fernando,2,1.0,200.0,0,0,0
699,2008,47,2,Mumbai Indians,DR Smith,20,16.0,125.0,0,0,0
700,2008,47,2,Mumbai Indians,PR Shah,5,5.0,100.0,0,0,0
701,2008,47,2,Mumbai Indians,RV Uthappa,9,13.0,69.23,0,0,0
