Name,City,Country Code,Days,Start,End
ma chicago,Sydney,AU,4,0730,1030
ma chicago,Sydney,AU,4,1200,2300
ma chicago,Sydney,AU,5,1200,2300
ma chicago,Sydney,AU,6,1200,2300
ma chicago,Perth,AU,0,1800,0200
ma chicago,Perth,AU,1,1800,0200
ma chicago,Perth,AU,2,1800,0200
ma chicago,Perth,AU,3,1800,0200
ma chicago,Perth,AU,4,1800,0400
ma chicago,Perth,AU,5,1800,0400
ma chicago,Perth,AU,6,1800,0200
ma chicago,Sydney,AU,0,0700,2000
ma chicago,Sydney,AU,1,0700,2000
ma chicago,Sydney,AU,2,0700,2000
ma chicago,Sydney,AU,3,0700,2300
ma chicago,Sydney,AU,4,0700,2300
ma chicago,Melbourne,AU,0,1130,2300
ma chicago,Melbourne,AU,1,1130,2300
ma chicago,Melbourne,AU,2,1130,2300
ma chicago,Melbourne,AU,3,1130,2300
ma chicago,Melbourne,AU,4,1130,2300
ma chicago,Melbourne,AU,5,1130,2300
ma chicago,Melbourne,AU,6,1130,2300
ma chicago,Sydney,AU,0,0600,1700
ma chicago,Sydney,AU,1,0600,1700
ma chicago,Sydney,AU,2,0600,1700
ma chicago,Sydney,AU,3,0600,1700
ma chicago,Sydney,AU,4,0600,1700
ma chicago,Perth,AU,0,0700,2200
ma chicago,Perth,AU,1,0700,2200
ma chicago,Perth,AU,2,0700,2200
ma chicago,Perth,AU,3,0700,2300
ma chicago,Perth,AU,4,0700,2300
ma chicago,Perth,AU,5,0800,2300
ma chicago,Perth,AU,6,0900,2200
ma chicago,Melbourne,AU,1,1130,1500
ma chicago,Melbourne,AU,1,1730,2230
ma chicago,Melbourne,AU,2,1130,1500
ma chicago,Melbourne,AU,2,1730,2230
ma chicago,Melbourne,AU,3,1130,1500
ma chicago,Melbourne,AU,3,1730,2230
ma chicago,Melbourne,AU,4,1130,1500
ma chicago,Melbourne,AU,4,1730,2230
ma chicago,Melbourne,AU,5,1730,2230
ma chicago,Melbourne,AU,6,1130,1500
ma chicago,Melbourne,AU,6,1730,2230
ma chicago,The Rocks,AU,0,1100,2300
ma chicago,The Rocks,AU,1,1100,2300
ma chicago,The Rocks,AU,2,1100,2300
ma chicago,The Rocks,AU,3,1100,2300
ma chicago,The Rocks,AU,4,1100,2300
ma chicago,The Rocks,AU,5,1100,2300
ma chicago,The Rocks,AU,6,1100,2300
ma chicago,Perth,AU,3,1600,2200
ma chicago,Perth,AU,4,1200,0000
ma chicago,Perth,AU,5,1200,0000
ma chicago,Perth,AU,6,1200,2200
ma chicago,Canberra,AU,0,1200,2130
ma chicago,Canberra,AU,1,1200,2130
ma chicago,Canberra,AU,2,1200,2130
ma chicago,Canberra,AU,3,1200,2130
ma chicago,Canberra,AU,4,1200,2130
ma chicago,Canberra,AU,5,1200,2130
ma chicago,Canberra,AU,6,1200,2130
ma chicago,Subiaco,AU,0,0630,1830
ma chicago,Subiaco,AU,1,0630,1830
ma chicago,Subiaco,AU,2,0630,1830
ma chicago,Subiaco,AU,3,0630,1830
ma chicago,Subiaco,AU,4,0630,1830
ma chicago,Subiaco,AU,5,0630,1830
ma chicago,Sydney,AU,0,1200,1430
ma chicago,Sydney,AU,0,1730,2300
ma chicago,Sydney,AU,1,1200,1430
ma chicago,Sydney,AU,1,1730,2300
ma chicago,Sydney,AU,2,1200,1430
ma chicago,Sydney,AU,2,1730,2300
ma chicago,Sydney,AU,3,1200,1430
ma chicago,Sydney,AU,3,1730,2300
ma chicago,Sydney,AU,4,1200,1430
ma chicago,Sydney,AU,4,1730,2300
ma chicago,Sydney,AU,5,1700,2300
ma chicago,Sydney,AU,6,1800,2200
ma chicago,Melbourne,AU,0,1030,2200
ma chicago,Melbourne,AU,1,1030,2200
ma chicago,Melbourne,AU,2,1030,2200
ma chicago,Melbourne,AU,3,1030,2200
ma chicago,Melbourne,AU,4,1030,2300
ma chicago,Melbourne,AU,5,1030,2300
ma chicago,Melbourne,AU,6,1030,2200
ma chicago,Perth,AU,0,1130,1500
ma chicago,Perth,AU,0,1700,2130
ma chicago,Perth,AU,1,1130,1500
ma chicago,Perth,AU,1,1700,2130
ma chicago,Perth,AU,2,1130,1500
ma chicago,Perth,AU,2,1700,2130
ma chicago,Perth,AU,3,1130,1500
ma chicago,Perth,AU,3,1700,2130
ma chicago,Perth,AU,4,1130,1500
ma chicago,Perth,AU,4,1700,2200
ma chicago,Perth,AU,5,1130,1500
ma chicago,Perth,AU,5,1700,2200
ma chicago,Perth,AU,6,1130,1500
ma chicago,Perth,AU,6,1700,2130
ma chicago,Sydney,AU,0,1100,1500
ma chicago,Sydney,AU,1,1100,1500
ma chicago,Sydney,AU,2,1100,1500
ma chicago,Sydney,AU,3,1100,1500
ma chicago,Sydney,AU,4,1100,1500
ma chicago,Sydney,AU,5,1100,1500
ma chicago,Sydney,AU,6,1100,1200
ma chicago,Sydney,AU,0,1030,0200
ma chicago,Sydney,AU,1,1030,0200
ma chicago,Sydney,AU,2,1030,0200
ma chicago,Sydney,AU,3,1030,0200
ma chicago,Sydney,AU,4,1030,0200
ma chicago,Sydney,AU,5,1030,0200
ma chicago,Sydney,AU,6,1030,0200
ma chicago,Brisbane,AU,0,0700,1800
ma chicago,Brisbane,AU,1,0700,1800
ma chicago,Brisbane,AU,2,0700,1800
ma chicago,Brisbane,AU,3,0700,1800
ma chicago,Brisbane,AU,4,0700,2030
ma chicago,Brisbane,AU,5,0900,1800
ma chicago,Brisbane,AU,6,1000,1600
ma chicago,Perth,AU,0,0700,1500
ma chicago,Perth,AU,1,0700,1700
ma chicago,Perth,AU,2,0700,1700
ma chicago,Perth,AU,3,0700,1700
ma chicago,Perth,AU,4,0700,1700
ma chicago,Perth,AU,5,0700,1700
ma chicago,Perth,AU,6,0700,1600
ma chicago,Perth,AU,0,1000,1800
ma chicago,Perth,AU,1,1000,1800
ma chicago,Perth,AU,2,1000,1800
ma chicago,Perth,AU,3,1000,1800
ma chicago,Perth,AU,4,1000,2300
ma chicago,Perth,AU,5,1000,2300
ma chicago,Perth,AU,6,1000,1800
ma chicago,Canberra,AU,0,0800,1800
ma chicago,Canberra,AU,1,0800,1800
ma chicago,Canberra,AU,2,0800,1800
ma chicago,Canberra,AU,3,0800,1800
ma chicago,Canberra,AU,4,0800,1800
ma chicago,Brisbane,AU,0,0630,1800
ma chicago,Brisbane,AU,1,0630,1800
ma chicago,Brisbane,AU,2,0630,1800
ma chicago,Brisbane,AU,3,0630,1800
ma chicago,Brisbane,AU,4,0630,1800
ma chicago,Brisbane,AU,5,0630,1800
ma chicago,Brisbane,AU,6,0630,1800
ma chicago,Perth,AU,0,0700,1900
ma chicago,Perth,AU,1,0700,1900
ma chicago,Perth,AU,2,0700,1900
ma chicago,Perth,AU,3,0700,1900
ma chicago,Perth,AU,4,0700,1900
ma chicago,Perth,AU,5,0800,1800
ma chicago,Perth,AU,6,1000,1700
ma chicago,Phillip,AU,0,1130,1430
ma chicago,Phillip,AU,0,1730,2200
ma chicago,Phillip,AU,1,1130,1430
ma chicago,Phillip,AU,1,1730,2200
ma chicago,Phillip,AU,2,1130,1430
ma chicago,Phillip,AU,2,1730,2200
ma chicago,Phillip,AU,3,1130,1430
ma chicago,Phillip,AU,3,1730,2200
ma chicago,Phillip,AU,4,1130,1430
ma chicago,Phillip,AU,4,1730,2200
ma chicago,Phillip,AU,5,1130,1430
ma chicago,Phillip,AU,5,1730,2200
ma chicago,Canberra,AU,0,0700,1600
ma chicago,Canberra,AU,1,0700,1600
ma chicago,Canberra,AU,2,0700,1600
ma chicago,Canberra,AU,3,0700,1600
ma chicago,Canberra,AU,4,0700,1600
ma chicago,Canberra,AU,5,0800,1400
ma chicago,Sydney,AU,0,1100,2000
ma chicago,Sydney,AU,1,1100,2000
ma chicago,Sydney,AU,2,1100,2000
ma chicago,Sydney,AU,3,1100,2200
ma chicago,Sydney,AU,4,1100,2100
ma chicago,Sydney,AU,5,1100,2100
ma chicago,Sydney,AU,6,1100,2000
ma chicago,Brisbane,AU,0,0630,1400
ma chicago,Brisbane,AU,1,0630,1400
ma chicago,Brisbane,AU,2,0630,1400
ma chicago,Brisbane,AU,3,0630,1400
ma chicago,Brisbane,AU,4,0630,2000
ma chicago,Brisbane,AU,5,0700,2000
ma chicago,Brisbane,AU,6,0630,1400
ma chicago,Griffith,AU,0,1800,2330
ma chicago,Griffith,AU,1,1800,2330
ma chicago,Griffith,AU,2,1800,2330
ma chicago,Griffith,AU,3,1800,2330
ma chicago,Griffith,AU,4,1800,2330
ma chicago,Griffith,AU,5,1800,2330
ma chicago,Perth,AU,0,1130,1500
ma chicago,Perth,AU,0,1730,2100
ma chicago,Perth,AU,1,1130,1500
ma chicago,Perth,AU,1,1730,2100
ma chicago,Perth,AU,2,1130,1500
ma chicago,Perth,AU,2,1730,2100
ma chicago,Perth,AU,3,1130,1500
ma chicago,Perth,AU,3,1730,2100
ma chicago,Perth,AU,4,1130,1500
ma chicago,Perth,AU,4,1730,2100
ma chicago,Perth,AU,5,1130,1500
ma chicago,Perth,AU,5,1730,2100
ma chicago,Perth,AU,6,1130,1500
ma chicago,Perth,AU,6,1730,2100
ma chicago,Sydney,AU,0,0600,1630
ma chicago,Sydney,AU,1,0600,1630
ma chicago,Sydney,AU,2,0600,1630
ma chicago,Sydney,AU,3,0600,1630
ma chicago,Sydney,AU,4,0600,1630
ma chicago,Sydney,AU,5,0600,1630
ma chicago,Sydney,AU,6,0600,1630
ma chicago,Melbourne,AU,0,0700,1600
ma chicago,Melbourne,AU,1,0700,1600
ma chicago,Melbourne,AU,2,0700,1600
ma chicago,Melbourne,AU,3,0700,1600
ma chicago,Melbourne,AU,4,0700,1600
ma chicago,Melbourne,AU,0,1800,0000
ma chicago,Melbourne,AU,1,1800,0000
ma chicago,Melbourne,AU,2,1800,0000
ma chicago,Melbourne,AU,3,1800,0000
ma chicago,Melbourne,AU,4,1800,0000
ma chicago,Melbourne,AU,5,1800,0000
ma chicago,Melbourne,AU,6,1200,0000
ma chicago,Melbourne,AU,0,0630,1600
ma chicago,Melbourne,AU,1,0630,1600
ma chicago,Melbourne,AU,2,0630,1600
ma chicago,Melbourne,AU,3,0630,1600
ma chicago,Melbourne,AU,4,0630,1600
ma chicago,Perth,AU,0,0700,1500
ma chicago,Perth,AU,1,0700,1500
ma chicago,Perth,AU,2,0700,1500
ma chicago,Perth,AU,3,0700,1500
ma chicago,Perth,AU,4,0700,1500
ma chicago,Perth,AU,5,0900,1400
ma chicago,Perth,AU,6,0900,1400
ma chicago,Melbourne,AU,0,0700,2300
ma chicago,Melbourne,AU,1,0700,2300
ma chicago,Melbourne,AU,2,0700,2300
ma chicago,Melbourne,AU,3,0700,2300
ma chicago,Melbourne,AU,4,0700,2300
ma chicago,Melbourne,AU,5,0800,2300
ma chicago,Melbourne,AU,6,0800,2300
ma chicago,Melbourne,AU,0,0700,1700
ma chicago,Melbourne,AU,1,0700,1700
ma chicago,Melbourne,AU,2,0700,1700
ma chicago,Melbourne,AU,3,0700,1700
ma chicago,Melbourne,AU,4,0700,1700
ma chicago,Melbourne,AU,5,0900,1700
ma chicago,Melbourne,AU,6,0900,1700
ma chicago,Melbourne,AU,0,0800,1500
ma chicago,Melbourne,AU,1,0800,1500
ma chicago,Melbourne,AU,2,0800,1500
ma chicago,Melbourne,AU,3,0800,1500
ma chicago,Melbourne,AU,4,0800,2200
ma chicago,Melbourne,AU,0,1030,1830
ma chicago,Melbourne,AU,1,1030,1830
ma chicago,Melbourne,AU,2,1030,1830
ma chicago,Melbourne,AU,3,1030,1830
ma chicago,Melbourne,AU,4,1030,1830
